sample_id,county,region,altitude_m,annual_rainfall_mm,temp_max_c,temp_min_c,soil_ph,humidity_pct,soil_nitrogen_pct,organic_carbon_pct,slope_degrees,drainage,soil_type,dominant_land_use,suitable_tea,suitable_maize,suitable_wheat,suitable_sorghum,suitable_coffee,suitable_beans
224,Trans Nzoia,Rift Valley,2552.7,982.8,23.3,12.9,5.81,68.7,0.928,2.108,4.6,Well drained,Mollic Andosols,Wheat/Maize,Moderately Suitable,Highly Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Highly Suitable
225,Laikipia,Central,2289.3,534.6,29.9,13.2,7.12,51.2,0.44,1.49,1.3,Well drained,Chromic Luvisols,Livestock/Wheat,Not Suitable,Moderately Suitable,Highly Suitable,Highly Suitable,Not Suitable,Highly Suitable
226,Lamu,Coast,70.4,842.0,36.2,25.4,7.87,75.2,0.323,0.33,1.9,Poorly drained,Gleyic Cambisols,Coconut/Fishing,Not Suitable,Moderately Suitable,Not Suitable,Highly Suitable,Not Suitable,Moderately Suitable
227,Nyeri,Central,2460.0,1270.4,20.5,10.0,5.09,77.0,1.843,4.054,5.9,Well drained,Humic Andosols,Tea/Coffee,Highly Suitable,Moderately Suitable,Highly Suitable,Not Suitable,Highly Suitable,Highly Suitable
228,Siaya,Nyanza,1450.9,1502.9,27.7,15.1,6.17,69.3,0.99,1.582,2.1,Poorly drained,Eutric Vertisols,Maize/Sorghum,Moderately Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Highly Suitable,Highly Suitable
229,West Pokot,Rift Valley,2194.1,919.7,25.3,15.4,6.07,55.6,1.253,1.668,19.4,Moderately drained,Chromic Luvisols,Sorghum/Livestock,Moderately Suitable,Highly Suitable,Highly Suitable,Highly Suitable,Highly Suitable,Highly Suitable
230,Kakamega,Western,1584.1,2005.2,26.8,15.5,5.91,74.1,1.596,1.563,7.9,Moderately drained,Ferric Luvisols,Tea/Sugarcane,Moderately Suitable,Highly Suitable,Highly Suitable,Highly Suitable,Highly Suitable,Highly Suitable
231,Kilifi,Coast,347.6,986.2,32.3,24.9,6.86,80.6,0.367,1.139,0.0,Moderately drained,Ferralic Arenosols,Cashew/Cassava,Not Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Not Suitable,Highly Suitable
232,Kisii,Nyanza,1856.5,1727.8,23.7,14.1,5.03,72.5,1.376,2.444,13.8,Moderately drained,Humic Nitisols,Tea/Smallholder,Highly Suitable,Highly Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Highly Suitable
233,Meru,Eastern,966.8,897.6,25.2,19.3,5.54,63.0,0.905,1.4,15.4,Moderately drained,Chromic Cambisols,Tea/Miraa,Not Suitable,Highly Suitable,Highly Suitable,Highly Suitable,Moderately Suitable,Highly Suitable
234,Mombasa,Coast,17.3,929.5,27.6,23.3,8.1,83.3,0.411,0.964,2.4,Poorly drained,Calcic Cambisols,Coconut/Cashew,Not Suitable,Moderately Suitable,Not Suitable,Moderately Suitable,Not Suitable,Highly Suitable
235,Elgeyo Marakwet,Rift Valley,2235.6,1373.1,23.6,10.7,6.07,63.8,1.245,1.588,18.2,Well drained,Eutric Vertisols,Maize/Wheat,Highly Suitable,Highly Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Highly Suitable
236,Murang'a,Central,1800.5,1290.1,25.7,14.8,5.41,66.8,1.937,3.267,7.0,Moderately drained,Humic Nitisols,Tea/Smallholder,Highly Suitable,Highly Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Highly Suitable
237,Uasin Gishu,Rift Valley,2373.8,1285.7,19.6,9.3,6.65,69.6,1.441,1.854,6.6,Well drained,Mollic Andosols,Wheat/Maize,Highly Suitable,Highly Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Highly Suitable
238,Isiolo,Eastern,425.4,433.6,29.0,20.5,8.88,39.8,0.538,0.2,2.5,Excessively drained,Chromic Luvisols,Livestock,Not Suitable,Moderately Suitable,Not Suitable,Highly Suitable,Not Suitable,Moderately Suitable
239,Samburu,Rift Valley,633.5,515.5,28.6,21.9,7.44,39.2,0.34,0.715,4.3,Excessively drained,Chromic Luvisols,Pastoralism,Not Suitable,Moderately Suitable,Moderately Suitable,Highly Suitable,Not Suitable,Moderately Suitable
240,Wajir,North Eastern,292.0,144.6,42.4,22.8,7.66,36.3,0.254,0.166,0.8,Excessively drained,Haplic Arenosols,Pastoralism,Not Suitable,Not Suitable,Not Suitable,Moderately Suitable,Not Suitable,Not Suitable
241,Kericho,Rift Valley,1722.7,1738.5,26.3,15.5,4.85,78.2,2.077,2.876,6.6,Well drained,Humic Nitisols,Tea/Forest,Highly Suitable,Highly Suitable,Moderately Suitable,Moderately Suitable,Highly Suitable,Moderately Suitable
242,Makueni,Eastern,783.5,470.2,34.0,17.0,6.76,44.8,0.768,0.816,7.8,Moderately drained,Chromic Luvisols,Sorghum/Mango,Not Suitable,Moderately Suitable,Moderately Suitable,Highly Suitable,Not Suitable,Highly Suitable
243,Meru,Eastern,1240.2,998.4,25.0,18.6,5.22,63.8,1.323,1.098,24.5,Moderately drained,Chromic Cambisols,Tea/Miraa,Moderately Suitable,Highly Suitable,Highly Suitable,Highly Suitable,Highly Suitable,Highly Suitable
244,Nakuru,Rift Valley,1766.7,1159.8,24.6,14.0,7.74,57.5,1.097,0.847,4.4,Well drained,Eutric Vertisols,Wheat/Pyrethrum,Moderately Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Moderately Suitable,Highly Suitable
245,Kericho,Rift Valley,2042.4,1635.7,25.5,15.1,5.17,79.3,2.413,3.336,11.3,Well drained,Humic Nitisols,Tea/Forest,Highly Suitable,Highly Suitable,Moderately Suitable,Moderately Suitable,Highly Suitable,Highly Suitable
246,Turkana,Rift Valley,1617.5,212.7,33.1,26.8,9.25,40.9,0.126,0.399,2.1,Excessively drained,Haplic Arenosols,Pastoralism,Not Suitable,Not Suitable,Not Suitable,Not Suitable,Not Suitable,Not Suitable
247,Vihiga,Western,1534.3,1656.6,23.2,15.2,5.37,71.4,1.454,1.868,11.8,Moderately drained,Ferric Luvisols,Tea/Maize,Highly Suitable,Highly Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Highly Suitable
248,Nyeri,Central,1966.2,1717.5,23.6,12.3,5.22,76.8,2.004,2.854,15.0,Well drained,Humic Andosols,Tea/Coffee,Highly Suitable,Highly Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Highly Suitable
249,Nandi,Rift Valley,1962.5,1484.6,21.9,13.9,4.97,76.9,1.935,2.493,12.8,Well drained,Humic Nitisols,Tea/Maize,Highly Suitable,Highly Suitable,Moderately Suitable,Not Suitable,Highly Suitable,Highly Suitable
250,Bungoma,Western,1845.8,1554.6,22.9,16.6,6.48,68.8,1.426,1.694,5.9,Moderately drained,Ferric Luvisols,Sugarcane/Maize,Highly Suitable,Highly Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Highly Suitable
251,Laikipia,Central,1714.6,776.4,24.1,13.4,6.91,59.6,0.965,1.067,3.5,Well drained,Chromic Luvisols,Livestock/Wheat,Not Suitable,Highly Suitable,Highly Suitable,Highly Suitable,Moderately Suitable,Highly Suitable
252,Narok,Rift Valley,1627.7,1056.6,21.6,9.6,6.52,50.2,0.947,0.783,2.2,Well drained,Mollic Vertisols,Wheat/Livestock,Moderately Suitable,Highly Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Highly Suitable
253,Lamu,Coast,40.4,724.6,33.5,25.7,8.15,81.0,0.579,0.932,2.6,Poorly drained,Gleyic Cambisols,Coconut/Fishing,Not Suitable,Moderately Suitable,Not Suitable,Highly Suitable,Not Suitable,Moderately Suitable
254,Kisii,Nyanza,1565.8,1666.6,26.6,15.0,4.89,73.1,1.822,2.964,7.1,Moderately drained,Humic Nitisols,Tea/Smallholder,Highly Suitable,Highly Suitable,Moderately Suitable,Moderately Suitable,Highly Suitable,Moderately Suitable
255,Laikipia,Central,2012.6,568.8,25.9,12.8,7.92,61.0,0.598,0.638,4.5,Well drained,Chromic Luvisols,Livestock/Wheat,Moderately Suitable,Moderately Suitable,Moderately Suitable,Highly Suitable,Not Suitable,Highly Suitable
256,Kiambu,Central,2109.0,1056.5,25.9,12.5,5.97,65.3,1.702,2.727,4.8,Moderately drained,Humic Nitisols,Tea/Horticulture,Highly Suitable,Highly Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Highly Suitable
257,Tharaka Nithi,Eastern,989.7,746.0,26.6,14.6,6.82,59.1,0.811,0.704,10.7,Moderately drained,Chromic Cambisols,Mango/Miraa,Not Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Not Suitable,Highly Suitable
258,Bungoma,Western,1814.2,1462.4,23.4,14.8,5.52,70.9,1.618,1.398,10.3,Moderately drained,Ferric Luvisols,Sugarcane/Maize,Highly Suitable,Highly Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Highly Suitable
259,Narok,Rift Valley,2764.8,687.4,24.4,11.0,6.94,52.3,1.078,1.234,5.9,Well drained,Mollic Vertisols,Wheat/Livestock,Not Suitable,Highly Suitable,Highly Suitable,Highly Suitable,Not Suitable,Highly Suitable
260,Taita Taveta,Coast,2174.8,1159.4,32.8,21.1,6.53,65.1,1.216,1.211,24.2,Well drained,Chromic Cambisols,Horticulture/Sisal,Moderately Suitable,Highly Suitable,Highly Suitable,Moderately Suitable,Moderately Suitable,Highly Suitable
261,Kilifi,Coast,57.3,1181.5,31.3,23.1,7.86,71.2,0.717,0.9,5.8,Moderately drained,Ferralic Arenosols,Cashew/Cassava,Not Suitable,Moderately Suitable,Not Suitable,Highly Suitable,Not Suitable,Moderately Suitable
262,Mombasa,Coast,44.8,940.9,31.6,23.9,7.03,74.0,0.731,0.57,3.4,Poorly drained,Calcic Cambisols,Coconut/Cashew,Not Suitable,Moderately Suitable,Moderately Suitable,Highly Suitable,Not Suitable,Highly Suitable
263,Nyamira,Nyanza,1581.3,1690.5,23.1,13.9,5.44,69.8,1.288,2.837,9.5,Moderately drained,Humic Nitisols,Tea/Banana,Highly Suitable,Highly Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Highly Suitable
264,Murang'a,Central,1586.8,1515.1,26.3,14.1,5.21,66.3,1.381,2.958,6.5,Moderately drained,Humic Nitisols,Tea/Smallholder,Highly Suitable,Highly Suitable,Moderately Suitable,Moderately Suitable,Highly Suitable,Highly Suitable
265,Embu,Eastern,1408.7,1007.4,25.3,14.6,5.45,73.6,1.457,2.609,6.0,Moderately drained,Chromic Cambisols,Coffee/Tea,Highly Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Highly Suitable,Highly Suitable
266,Kitui,Eastern,672.0,675.7,29.9,21.9,7.95,45.8,0.285,0.459,12.4,Moderately drained,Ferralic Cambisols,Sorghum/Cotton,Not Suitable,Moderately Suitable,Not Suitable,Highly Suitable,Not Suitable,Moderately Suitable
267,Murang'a,Central,1924.0,1507.9,26.5,13.6,5.27,65.1,1.447,3.035,17.9,Moderately drained,Humic Nitisols,Tea/Smallholder,Highly Suitable,Highly Suitable,Moderately Suitable,Moderately Suitable,Highly Suitable,Highly Suitable
268,Kisii,Nyanza,1576.2,1453.5,23.8,14.6,5.74,71.4,1.787,1.685,19.7,Moderately drained,Humic Nitisols,Tea/Smallholder,Highly Suitable,Highly Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Highly Suitable
269,Nyeri,Central,1842.1,1627.1,21.3,11.8,4.42,68.7,1.992,3.16,14.0,Well drained,Humic Andosols,Tea/Coffee,Highly Suitable,Highly Suitable,Moderately Suitable,Moderately Suitable,Highly Suitable,Moderately Suitable
270,Makueni,Eastern,966.5,510.1,26.3,20.3,6.51,51.2,0.49,0.805,11.0,Moderately drained,Chromic Luvisols,Sorghum/Mango,Not Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Not Suitable,Highly Suitable
271,Kilifi,Coast,53.7,1127.4,33.7,22.3,6.33,70.4,0.788,0.683,3.6,Moderately drained,Ferralic Arenosols,Cashew/Cassava,Not Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Moderately Suitable,Highly Suitable
272,Murang'a,Central,1842.5,1444.7,26.3,13.2,4.84,72.9,1.272,1.921,4.2,Moderately drained,Humic Nitisols,Tea/Smallholder,Highly Suitable,Highly Suitable,Moderately Suitable,Moderately Suitable,Highly Suitable,Highly Suitable
273,Kiambu,Central,1833.8,1388.8,23.5,14.6,5.72,64.0,1.452,2.503,9.0,Moderately drained,Humic Nitisols,Tea/Horticulture,Highly Suitable,Highly Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Highly Suitable
274,Homa Bay,Nyanza,1509.6,1378.1,28.1,17.9,6.52,70.1,0.835,1.705,6.0,Moderately drained,Chromic Luvisols,Maize/Sorghum,Moderately Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Highly Suitable,Highly Suitable
275,Kirinyaga,Central,1523.6,1440.0,22.8,13.4,5.59,73.5,1.598,3.207,6.0,Well drained,Humic Andosols,Tea/Rice,Highly Suitable,Highly Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Highly Suitable
276,Kericho,Rift Valley,1759.8,1885.2,24.6,13.8,5.02,76.9,2.323,3.355,2.3,Well drained,Humic Nitisols,Tea/Forest,Highly Suitable,Highly Suitable,Moderately Suitable,Moderately Suitable,Highly Suitable,Highly Suitable
277,Nyeri,Central,1797.3,1823.6,20.8,10.7,5.32,74.6,2.098,3.311,15.8,Well drained,Humic Andosols,Tea/Coffee,Highly Suitable,Highly Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Highly Suitable
278,Kisumu,Nyanza,1517.2,1084.8,29.4,20.4,6.84,65.6,0.725,1.575,4.0,Poorly drained,Eutric Vertisols,Maize/Rice,Moderately Suitable,Highly Suitable,Highly Suitable,Highly Suitable,Moderately Suitable,Highly Suitable
279,Bomet,Rift Valley,1905.9,1351.2,22.8,12.4,5.01,72.1,2.008,3.185,3.8,Well drained,Humic Nitisols,Tea/Dairy,Highly Suitable,Highly Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Highly Suitable
280,Narok,Rift Valley,1851.3,548.5,28.3,10.0,7.29,51.0,0.906,1.694,3.9,Well drained,Mollic Vertisols,Wheat/Livestock,Not Suitable,Highly Suitable,Highly Suitable,Highly Suitable,Not Suitable,Highly Suitable
281,Vihiga,Western,1696.2,1628.0,25.9,13.0,5.02,74.9,1.86,1.937,10.5,Moderately drained,Ferric Luvisols,Tea/Maize,Highly Suitable,Highly Suitable,Moderately Suitable,Moderately Suitable,Highly Suitable,Highly Suitable
282,Kirinyaga,Central,1659.6,1278.9,21.5,13.8,4.8,71.5,1.465,2.925,13.8,Well drained,Humic Andosols,Tea/Rice,Highly Suitable,Highly Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Highly Suitable
283,Nyamira,Nyanza,1422.6,1528.3,25.4,13.0,5.14,68.4,1.559,2.409,12.4,Moderately drained,Humic Nitisols,Tea/Banana,Highly Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Highly Suitable,Highly Suitable
284,Kirinyaga,Central,1466.2,1395.2,22.2,13.3,5.31,66.5,1.781,2.659,5.7,Well drained,Humic Andosols,Tea/Rice,Highly Suitable,Highly Suitable,Moderately Suitable,Moderately Suitable,Highly Suitable,Highly Suitable
285,Laikipia,Central,2040.6,846.8,26.2,12.2,7.51,54.8,0.513,1.411,5.7,Well drained,Chromic Luvisols,Livestock/Wheat,Not Suitable,Moderately Suitable,Highly Suitable,Highly Suitable,Not Suitable,Highly Suitable
286,Machakos,Eastern,1177.6,583.7,26.1,14.3,6.41,45.2,0.776,0.816,19.5,Moderately drained,Chromic Luvisols,Maize/Beans,Not Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Not Suitable,Highly Suitable
287,Nyeri,Central,1798.7,1370.9,23.0,12.6,4.8,77.5,1.751,3.065,19.2,Well drained,Humic Andosols,Tea/Coffee,Highly Suitable,Highly Suitable,Moderately Suitable,Not Suitable,Highly Suitable,Highly Suitable
288,Kiambu,Central,1659.8,1075.3,24.3,15.0,5.52,62.7,1.766,2.726,12.4,Moderately drained,Humic Nitisols,Tea/Horticulture,Highly Suitable,Highly Suitable,Highly Suitable,Highly Suitable,Highly Suitable,Highly Suitable
289,Meru,Eastern,1405.1,1254.2,24.4,17.6,5.34,62.7,0.943,2.246,9.1,Moderately drained,Chromic Cambisols,Tea/Miraa,Highly Suitable,Highly Suitable,Moderately Suitable,Moderately Suitable,Highly Suitable,Highly Suitable
290,Kilifi,Coast,318.7,935.6,28.0,25.2,6.97,81.0,0.709,1.046,2.0,Moderately drained,Ferralic Arenosols,Cashew/Cassava,Not Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Not Suitable,Highly Suitable
291,Machakos,Eastern,1519.5,597.5,31.2,18.5,7.46,59.2,0.52,0.711,14.7,Moderately drained,Chromic Luvisols,Maize/Beans,Not Suitable,Moderately Suitable,Highly Suitable,Highly Suitable,Not Suitable,Highly Suitable
292,Trans Nzoia,Rift Valley,2065.1,1277.8,20.1,11.8,6.17,64.9,1.554,1.876,1.8,Well drained,Mollic Andosols,Wheat/Maize,Highly Suitable,Highly Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Highly Suitable
293,Nyeri,Central,1637.4,1379.5,24.8,13.9,4.5,77.5,2.239,3.936,11.8,Well drained,Humic Andosols,Tea/Coffee,Highly Suitable,Highly Suitable,Moderately Suitable,Not Suitable,Highly Suitable,Highly Suitable
294,Elgeyo Marakwet,Rift Valley,2262.6,1091.3,21.4,8.0,5.63,65.8,1.21,2.398,13.1,Well drained,Eutric Vertisols,Maize/Wheat,Highly Suitable,Highly Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Highly Suitable
295,Samburu,Rift Valley,1563.9,455.6,31.7,16.2,8.36,34.2,0.421,0.352,19.2,Excessively drained,Chromic Luvisols,Pastoralism,Not Suitable,Not Suitable,Moderately Suitable,Moderately Suitable,Not Suitable,Moderately Suitable
296,Makueni,Eastern,1183.7,553.3,30.5,17.0,6.94,54.6,0.32,0.476,2.1,Moderately drained,Chromic Luvisols,Sorghum/Mango,Not Suitable,Moderately Suitable,Moderately Suitable,Highly Suitable,Not Suitable,Highly Suitable
297,Kirinyaga,Central,2011.5,1459.7,24.4,11.2,5.49,71.8,1.763,2.862,14.4,Well drained,Humic Andosols,Tea/Rice,Highly Suitable,Highly Suitable,Moderately Suitable,Moderately Suitable,Highly Suitable,Highly Suitable
298,Uasin Gishu,Rift Valley,2395.6,994.1,21.9,9.6,7.07,58.4,1.206,1.416,6.0,Well drained,Mollic Andosols,Wheat/Maize,Moderately Suitable,Highly Suitable,Highly Suitable,Moderately Suitable,Moderately Suitable,Highly Suitable
299,Narok,Rift Valley,2700.0,972.8,25.2,10.8,5.97,50.0,0.874,1.443,4.8,Well drained,Mollic Vertisols,Wheat/Livestock,Moderately Suitable,Highly Suitable,Highly Suitable,Highly Suitable,Moderately Suitable,Highly Suitable
300,Makueni,Eastern,1075.5,859.1,29.9,17.0,6.73,54.1,0.622,0.699,17.2,Moderately drained,Chromic Luvisols,Sorghum/Mango,Not Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Not Suitable,Highly Suitable
301,Embu,Eastern,1610.1,1195.4,24.5,16.3,5.34,64.3,1.103,1.817,14.9,Moderately drained,Chromic Cambisols,Coffee/Tea,Highly Suitable,Highly Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Highly Suitable
302,Nandi,Rift Valley,1740.5,1722.8,22.2,11.7,5.28,79.5,1.873,2.541,10.7,Well drained,Humic Nitisols,Tea/Maize,Highly Suitable,Highly Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Highly Suitable
303,Nakuru,Rift Valley,2251.4,778.7,22.5,13.6,7.58,52.7,0.789,1.868,2.1,Well drained,Eutric Vertisols,Wheat/Pyrethrum,Moderately Suitable,Moderately Suitable,Highly Suitable,Highly Suitable,Not Suitable,Highly Suitable
304,Kiambu,Central,2142.2,1114.5,24.4,15.6,5.92,62.7,1.118,1.51,10.6,Moderately drained,Humic Nitisols,Tea/Horticulture,Highly Suitable,Highly Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Highly Suitable
305,Marsabit,Eastern,856.6,452.6,35.5,20.3,8.01,48.6,0.357,0.733,4.4,Excessively drained,Chromic Cambisols,Livestock,Not Suitable,Not Suitable,Not Suitable,Highly Suitable,Not Suitable,Moderately Suitable
306,Bomet,Rift Valley,2013.0,1536.6,25.5,13.6,4.82,75.4,1.724,3.208,6.0,Well drained,Humic Nitisols,Tea/Dairy,Highly Suitable,Moderately Suitable,Moderately Suitable,Not Suitable,Highly Suitable,Highly Suitable
307,Nyeri,Central,2197.4,1501.6,24.5,13.2,5.06,76.7,1.806,2.424,9.0,Well drained,Humic Andosols,Tea/Coffee,Highly Suitable,Highly Suitable,Moderately Suitable,Not Suitable,Highly Suitable,Highly Suitable
308,Trans Nzoia,Rift Valley,2570.8,989.1,20.8,10.9,6.29,61.0,0.94,1.658,5.1,Well drained,Mollic Andosols,Wheat/Maize,Moderately Suitable,Highly Suitable,Highly Suitable,Moderately Suitable,Moderately Suitable,Highly Suitable
309,Samburu,Rift Valley,1269.6,614.4,35.1,21.9,8.45,35.6,0.545,0.736,5.5,Excessively drained,Chromic Luvisols,Pastoralism,Not Suitable,Moderately Suitable,Not Suitable,Highly Suitable,Not Suitable,Moderately Suitable
310,Nyamira,Nyanza,1503.0,1331.9,22.3,15.9,4.92,74.6,1.871,2.371,7.0,Moderately drained,Humic Nitisols,Tea/Banana,Highly Suitable,Highly Suitable,Moderately Suitable,Moderately Suitable,Highly Suitable,Highly Suitable
311,Samburu,Rift Valley,624.4,539.7,31.6,23.1,7.85,36.3,0.4,0.474,8.2,Excessively drained,Chromic Luvisols,Pastoralism,Not Suitable,Not Suitable,Not Suitable,Highly Suitable,Not Suitable,Moderately Suitable
312,Siaya,Nyanza,1439.1,1452.4,28.8,19.7,6.67,72.1,0.998,1.259,7.5,Poorly drained,Eutric Vertisols,Maize/Sorghum,Moderately Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Highly Suitable,Highly Suitable
313,Kajiado,Rift Valley,1478.4,475.4,34.4,12.2,7.9,46.0,0.332,0.686,8.2,Excessively drained,Calcic Cambisols,Livestock/Hort,Not Suitable,Not Suitable,Moderately Suitable,Highly Suitable,Not Suitable,Moderately Suitable
314,Kilifi,Coast,366.1,1091.1,34.7,22.3,6.21,73.2,0.557,1.312,3.6,Moderately drained,Ferralic Arenosols,Cashew/Cassava,Not Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Moderately Suitable,Highly Suitable
315,Marsabit,Eastern,782.7,559.7,29.3,18.5,7.1,50.1,0.256,0.335,8.8,Excessively drained,Chromic Cambisols,Livestock,Not Suitable,Moderately Suitable,Moderately Suitable,Highly Suitable,Not Suitable,Moderately Suitable
316,Kiambu,Central,1904.0,1122.1,25.8,13.0,5.63,66.3,1.525,1.813,5.3,Moderately drained,Humic Nitisols,Tea/Horticulture,Highly Suitable,Highly Suitable,Highly Suitable,Highly Suitable,Highly Suitable,Highly Suitable
317,Kwale,Coast,105.7,1232.5,29.5,22.7,6.72,81.7,0.535,0.604,1.1,Moderately drained,Ferralic Arenosols,Cashew/Coconut,Not Suitable,Highly Suitable,Not Suitable,Moderately Suitable,Not Suitable,Moderately Suitable
318,Kiambu,Central,2064.9,1238.3,24.9,13.7,5.1,64.0,1.356,1.772,3.6,Moderately drained,Humic Nitisols,Tea/Horticulture,Highly Suitable,Highly Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Highly Suitable
319,Kirinyaga,Central,1689.1,1637.0,21.5,12.3,5.02,73.4,1.326,2.134,15.4,Well drained,Humic Andosols,Tea/Rice,Highly Suitable,Highly Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Highly Suitable
320,Trans Nzoia,Rift Valley,2106.6,1028.8,20.3,8.2,6.69,69.9,1.312,2.03,6.6,Well drained,Mollic Andosols,Wheat/Maize,Highly Suitable,Highly Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Highly Suitable
321,Nairobi,Nairobi,1630.0,1010.0,26.8,12.4,5.82,55.2,0.956,1.864,5.7,Moderately drained,Chromic Luvisols,Urban/Horticulture,Moderately Suitable,Highly Suitable,Highly Suitable,Highly Suitable,Highly Suitable,Highly Suitable
322,Elgeyo Marakwet,Rift Valley,1989.1,1367.0,22.2,9.6,6.05,64.9,1.592,1.698,22.8,Well drained,Eutric Vertisols,Maize/Wheat,Highly Suitable,Highly Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Highly Suitable
323,Makueni,Eastern,1257.6,760.8,31.8,19.4,6.81,54.2,0.639,0.42,8.6,Moderately drained,Chromic Luvisols,Sorghum/Mango,Not Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Not Suitable,Highly Suitable
324,Uasin Gishu,Rift Valley,2248.8,1030.4,20.9,8.3,7.15,62.3,1.135,1.662,5.8,Well drained,Mollic Andosols,Wheat/Maize,Moderately Suitable,Highly Suitable,Highly Suitable,Moderately Suitable,Moderately Suitable,Highly Suitable
325,Kilifi,Coast,289.8,836.6,31.4,21.5,6.09,69.3,0.337,0.514,6.5,Moderately drained,Ferralic Arenosols,Cashew/Cassava,Not Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Moderately Suitable,Highly Suitable
326,Murang'a,Central,1536.0,1358.7,22.2,15.1,4.81,73.8,1.434,2.718,16.3,Moderately drained,Humic Nitisols,Tea/Smallholder,Highly Suitable,Highly Suitable,Moderately Suitable,Moderately Suitable,Highly Suitable,Highly Suitable
327,Kiambu,Central,1814.5,1237.6,24.9,12.3,5.79,64.9,1.571,2.569,12.6,Moderately drained,Humic Nitisols,Tea/Horticulture,Highly Suitable,Highly Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Highly Suitable
328,Nyandarua,Central,2017.7,1349.2,16.6,9.7,5.04,67.6,1.986,1.701,7.5,Well drained,Humic Andosols,Wheat/Pyrethrum,Highly Suitable,Moderately Suitable,Highly Suitable,Not Suitable,Highly Suitable,Highly Suitable
329,Mandera,North Eastern,233.7,331.5,41.4,27.8,7.66,38.5,0.236,0.349,0.1,Excessively drained,Haplic Arenosols,Pastoralism,Not Suitable,Not Suitable,Not Suitable,Moderately Suitable,Not Suitable,Not Suitable
330,Kiambu,Central,2169.8,1232.4,24.5,13.8,5.22,66.4,1.296,1.568,12.2,Moderately drained,Humic Nitisols,Tea/Horticulture,Highly Suitable,Highly Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Highly Suitable
331,Embu,Eastern,1678.2,1405.6,23.8,15.5,5.55,68.1,1.006,2.368,13.3,Moderately drained,Chromic Cambisols,Coffee/Tea,Highly Suitable,Highly Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Highly Suitable
332,Meru,Eastern,1185.5,1089.8,30.6,18.7,5.63,70.8,1.753,1.588,12.1,Moderately drained,Chromic Cambisols,Tea/Miraa,Moderately Suitable,Highly Suitable,Moderately Suitable,Highly Suitable,Highly Suitable,Highly Suitable
333,Kwale,Coast,241.2,1300.9,29.9,23.9,7.44,76.2,0.514,1.25,4.1,Moderately drained,Ferralic Arenosols,Cashew/Coconut,Not Suitable,Moderately Suitable,Not Suitable,Highly Suitable,Not Suitable,Highly Suitable
334,Trans Nzoia,Rift Valley,2423.9,934.7,17.9,11.6,5.99,63.1,0.909,2.31,7.0,Well drained,Mollic Andosols,Wheat/Maize,Moderately Suitable,Moderately Suitable,Highly Suitable,Moderately Suitable,Moderately Suitable,Highly Suitable
